"","county","industry","medium","injury_type","injury_date","death","injuries"
"510","新竹縣","批發及零售業","電線桿","公路交通事故",2017-08-07,1,0
"511","新竹市","製造業","原動機(馬達)","感電",2017-08-07,1,0
"512","嘉義縣","營造業","梯子等","墜落、滾落",2017-08-07,1,0
"513","桃園市","製造業","其他","被夾、被捲",2017-08-08,1,0
"514","高雄市","營造業","其他媒介物","物體飛落",2017-08-10,1,0
"515","彰化縣","製造業","輸配電線路","感電",2017-08-10,1,0
"516","台中市","營造業","其他(捲揚機)","墜落、滾落",2017-08-11,1,0
"517","嘉義縣","製造業","金屬材料","物體倒塌、崩塌",2017-08-12,1,0
"518","雲林縣","公共行政及國防；強制性社會安全","汽車、公共汽車","公路交通事故",2017-08-15,1,2
"519","桃園市","營造業","施工架","墜落、滾落",2017-08-18,1,0
"520","桃園市","營造業","營建物","物體飛落",2017-08-19,1,0
"521","新北市","製造業","PVC塑膠粒子太空包","物體倒塌、崩塌",2017-08-19,1,0
"522","台北市","營造業","其他","物體飛落",2017-08-21,1,0
"523","台中市","營造業","營建物","墜落、滾落",2017-08-23,1,0
"524","新北市","營造業","梯子等","墜落、滾落",2017-08-23,1,0
"525","桃園市","支援服務業","其他","被撞",2017-08-23,1,0
"526","台北市","專業、科學及技術服務業","輸配電線路","感電",2017-08-24,1,0
"527","台南市","營造業","營建物","墜落、滾落",2017-08-25,1,0
"528","台中市","農、林、漁、牧業","梯子","墜落、滾落",2017-08-25,1,0
"529","台南市","營造業","梯子","墜落、滾落",2017-08-25,1,0
"530","高雄市","運輸及倉儲業","金屬材料","物體飛落",2017-08-25,1,0
"531","宜蘭縣","營造業","營建物","物體飛落",2017-08-29,1,0
"532","台中市","製造業","其他","感電",2017-08-29,1,0
"533","新竹縣","營造業","施工架","墜落、滾落",2017-08-29,1,0
"534","新北市","製造業","輸配電路線","感電",2017-08-30,1,0
"535","桃園市","專業、科學及技術服務業","其他設備","墜落、滾落",2017-09-03,1,0
"536","高雄市","製造業","採光罩","墜落、滾落",2017-09-05,1,0
"537","桃園市","製造業","屋頂、屋架、樑","墜落、滾落",2017-09-05,1,0
"538","高雄市","批發及零售業","移動式工作台","墜落、滾落",2017-09-06,1,0
"539","台中市","專業、科學及技術服務業","輸配電線路","墜落、滾落",2017-09-06,1,0
"540","台南市","營造業","開口部分","墜落、滾落",2017-09-06,1,0
"541","苗栗縣","其他服務業","輸配電線路","感電",2017-09-07,1,0
"542","新北市","營造業","開口部分","墜落、滾落",2017-09-07,1,0
